Chronologic VCS simulator copyright 1991-2017
Contains Synopsys proprietary information.
Compiler version N-2017.12-SP2-2_Full64; Runtime version N-2017.12-SP2-2_Full64;  Feb  6 22:00 2019
time =                  350ns clk = 0 n_rst = 1 up_dwn = 0 count1=0 count2=  0 
 
time =                  355ns clk = 1 n_rst = 1 up_dwn = 0 count1=0 count2=  0 
 
time =                  360ns clk = 0 n_rst = 1 up_dwn = 0 count1=0 count2=  0 
 
time =                  365ns clk = 1 n_rst = 1 up_dwn = 0 count1=0 count2=  0 
 
time =                  370ns clk = 0 n_rst = 1 up_dwn = 0 count1=0 count2=  0 
 
time =                  375ns clk = 1 n_rst = 1 up_dwn = 0 count1=0 count2=  0 
 
time =                  380ns clk = 0 n_rst = 1 up_dwn = 0 count1=0 count2=  0 
 
time =                  385ns clk = 1 n_rst = 1 up_dwn = 0 count1=0 count2=  0 
 
time =                  390ns clk = 0 n_rst = 1 up_dwn = 0 count1=0 count2=  0 
 
time =                  395ns clk = 1 n_rst = 1 up_dwn = 0 count1=0 count2=  0 
 
time =                  400ns clk = 0 n_rst = 1 up_dwn = 0 count1=0 count2=  0 
 
time =                  405ns clk = 1 n_rst = 1 up_dwn = 0 count1=0 count2=  0 
 
time =                  410ns clk = 0 n_rst = 1 up_dwn = 0 count1=0 count2=  0 
 
time =                  415ns clk = 1 n_rst = 1 up_dwn = 0 count1=0 count2=  0 
 
time =                  420ns clk = 0 n_rst = 1 up_dwn = 0 count1=0 count2=  0 
 
time =                  425ns clk = 1 n_rst = 1 up_dwn = 0 count1=0 count2=  0 
 
time =                  430ns clk = 0 n_rst = 1 up_dwn = 0 count1=0 count2=  0 
 
time =                  435ns clk = 1 n_rst = 1 up_dwn = 0 count1=0 count2=  0 
 
time =                  440ns clk = 0 n_rst = 1 up_dwn = 0 count1=0 count2=  0 
 
time =                  445ns clk = 1 n_rst = 1 up_dwn = 0 count1=0 count2=  0 
 
time =                  450ns clk = 0 n_rst = 1 up_dwn = 0 count1=0 count2=  0 
 
time =                  455ns clk = 1 n_rst = 1 up_dwn = 0 count1=0 count2=  0 
 
time =                  460ns clk = 0 n_rst = 1 up_dwn = 0 count1=0 count2=  0 
 
time =                  465ns clk = 1 n_rst = 1 up_dwn = 0 count1=0 count2=  0 
 
time =                  470ns clk = 0 n_rst = 1 up_dwn = 0 count1=0 count2=  0 
 
time =                  475ns clk = 1 n_rst = 1 up_dwn = 0 count1=0 count2=  0 
 
time =                  480ns clk = 0 n_rst = 1 up_dwn = 0 count1=0 count2=  0 
 
time =                  485ns clk = 1 n_rst = 1 up_dwn = 0 count1=0 count2=  0 
 
time =                  490ns clk = 0 n_rst = 1 up_dwn = 0 count1=0 count2=  0 
 
time =                  495ns clk = 1 n_rst = 1 up_dwn = 0 count1=0 count2=  0 
 
time =                  500ns clk = 0 n_rst = 1 up_dwn = 0 count1=0 count2=  0 
 
time =                  505ns clk = 1 n_rst = 1 up_dwn = 0 count1=0 count2=  0 
 
time =                  510ns clk = 0 n_rst = 1 up_dwn = 0 count1=0 count2=  0 
 
time =                  515ns clk = 1 n_rst = 1 up_dwn = 0 count1=0 count2=  0 
 
time =                  520ns clk = 0 n_rst = 1 up_dwn = 0 count1=0 count2=  0 
 
