Chronologic VCS simulator copyright 1991-2017
Contains Synopsys proprietary information.
Compiler version N-2017.12-SP2-2_Full64; Runtime version N-2017.12-SP2-2_Full64;  Feb  6 21:59 2019
time =                    0 clk = 0 n_rst = 0 up_dwn = 0 count1=x count2=  x 
 
time =                    5 clk = 1 n_rst = 0 up_dwn = 0 count1=0 count2=  0 
 
time =                   10 clk = 0 n_rst = 0 up_dwn = 0 count1=0 count2=  0 
 
time =                   15 clk = 1 n_rst = 1 up_dwn = 1 count1=1 count2=  1 
 
time =                   20 clk = 0 n_rst = 1 up_dwn = 1 count1=1 count2=  1 
 
time =                   25 clk = 1 n_rst = 1 up_dwn = 1 count1=2 count2=  2 
 
time =                   30 clk = 0 n_rst = 1 up_dwn = 1 count1=2 count2=  2 
 
time =                   35 clk = 1 n_rst = 1 up_dwn = 1 count1=3 count2=  3 
 
time =                   40 clk = 0 n_rst = 1 up_dwn = 1 count1=3 count2=  3 
 
time =                   45 clk = 1 n_rst = 1 up_dwn = 0 count1=2 count2=  2 
 
time =                   50 clk = 0 n_rst = 1 up_dwn = 0 count1=2 count2=  2 
 
time =                   55 clk = 1 n_rst = 1 up_dwn = 0 count1=1 count2=  1 
 
time =                   60 clk = 0 n_rst = 1 up_dwn = 0 count1=1 count2=  1 
 
time =                   65 clk = 1 n_rst = 1 up_dwn = 0 count1=0 count2=  0 
 
time =                   70 clk = 0 n_rst = 1 up_dwn = 0 count1=0 count2=  0 
 
time =                   75 clk = 1 n_rst = 1 up_dwn = 0 count1=0 count2=  0 
 
time =                   80 clk = 0 n_rst = 1 up_dwn = 0 count1=0 count2=  0 
 
time =                   85 clk = 1 n_rst = 1 up_dwn = 0 count1=0 count2=  0 
 
time =                   90 clk = 0 n_rst = 1 up_dwn = 0 count1=0 count2=  0 
 
time =                   95 clk = 1 n_rst = 1 up_dwn = 0 count1=0 count2=  0 
 
time =                  100 clk = 0 n_rst = 1 up_dwn = 0 count1=0 count2=  0 
 
time =                  105 clk = 1 n_rst = 1 up_dwn = 0 count1=0 count2=  0 
 
time =                  110 clk = 0 n_rst = 1 up_dwn = 0 count1=0 count2=  0 
 
time =                  115 clk = 1 n_rst = 1 up_dwn = 0 count1=0 count2=  0 
 
time =                  120 clk = 0 n_rst = 1 up_dwn = 0 count1=0 count2=  0 
 
time =                  125 clk = 1 n_rst = 1 up_dwn = 0 count1=0 count2=  0 
 
time =                  130 clk = 0 n_rst = 1 up_dwn = 0 count1=0 count2=  0 
 
time =                  135 clk = 1 n_rst = 1 up_dwn = 0 count1=0 count2=  0 
 
time =                  140 clk = 0 n_rst = 1 up_dwn = 0 count1=0 count2=  0 
 
time =                  145 clk = 1 n_rst = 1 up_dwn = 0 count1=0 count2=  0 
 
time =                  150 clk = 0 n_rst = 1 up_dwn = 0 count1=0 count2=  0 
 
time =                  155 clk = 1 n_rst = 1 up_dwn = 0 count1=0 count2=  0 
 
time =                  160 clk = 0 n_rst = 1 up_dwn = 0 count1=0 count2=  0 
 
time =                  165 clk = 1 n_rst = 1 up_dwn = 0 count1=0 count2=  0 
 
time =                  170 clk = 0 n_rst = 1 up_dwn = 0 count1=0 count2=  0 
 
time =                  175 clk = 1 n_rst = 1 up_dwn = 0 count1=0 count2=  0 
 
time =                  180 clk = 0 n_rst = 1 up_dwn = 0 count1=0 count2=  0 
 
time =                  185 clk = 1 n_rst = 1 up_dwn = 0 count1=0 count2=  0 
 
time =                  190 clk = 0 n_rst = 1 up_dwn = 0 count1=0 count2=  0 
 
time =                  195 clk = 1 n_rst = 1 up_dwn = 0 count1=0 count2=  0 
 
time =                  200 clk = 0 n_rst = 1 up_dwn = 0 count1=0 count2=  0 
 
time =                  205 clk = 1 n_rst = 1 up_dwn = 0 count1=0 count2=  0 
 
time =                  210 clk = 0 n_rst = 1 up_dwn = 0 count1=0 count2=  0 
 
time =                  215 clk = 1 n_rst = 1 up_dwn = 0 count1=0 count2=  0 
 
time =                  220 clk = 0 n_rst = 1 up_dwn = 0 count1=0 count2=  0 
 
time =                  225 clk = 1 n_rst = 1 up_dwn = 0 count1=0 count2=  0 
 
time =                  230 clk = 0 n_rst = 1 up_dwn = 0 count1=0 count2=  0 
 
time =                  235 clk = 1 n_rst = 1 up_dwn = 0 count1=0 count2=  0 
 
time =                  240 clk = 0 n_rst = 1 up_dwn = 0 count1=0 count2=  0 
 
time =                  245 clk = 1 n_rst = 1 up_dwn = 0 count1=0 count2=  0 
 
time =                  250 clk = 0 n_rst = 1 up_dwn = 0 count1=0 count2=  0 
 
time =                  255 clk = 1 n_rst = 1 up_dwn = 0 count1=0 count2=  0 
 
time =                  260 clk = 0 n_rst = 1 up_dwn = 0 count1=0 count2=  0 
 
time =                  265 clk = 1 n_rst = 1 up_dwn = 0 count1=0 count2=  0 
 
time =                  270 clk = 0 n_rst = 1 up_dwn = 0 count1=0 count2=  0 
 
time =                  275 clk = 1 n_rst = 1 up_dwn = 0 count1=0 count2=  0 
 
time =                  280 clk = 0 n_rst = 1 up_dwn = 0 count1=0 count2=  0 
 
